Webpage,Preprocessed_Text,Preprocessed_Document
Tracking,['tracking'],['track']
Dynamic,['dynamic'],['dynam']
Fare,['fare'],['fare']
Tracking,['tracking'],['track']
Histogram,['histogram'],['histogram']
Fare,['fare'],['fare']
Tracking,['tracking'],['track']
Fares,['fares'],['fare']
Strip,['strip'],['strip']
Fare,['fare'],['fare']
Tracking,['tracking'],['track']
Boxever,['boxever'],['boxev']
Tracking,['tracking'],['track']
Boxever,['boxever'],['boxev']
ML,['ml'],['ml']
Tracking,['tracking'],['track']
Homepage,['homepage'],['homepag']
Fares,['fares'],['fare']
Tracking,['tracking'],['track']
Boxever,['boxever'],['boxev']
Offers,['offers'],['offer']
Tracking,['tracking'],['track']
Header,['header'],['header']
Checkin,['checkin'],['checkin']
Manage,['manage'],['manag']
Booking,['booking'],['book']
Checkin,['checkin'],['checkin']
BPG,['bpg'],['bpg']
Desktop,['desktop'],['desktop']
BPG,['bpg'],['bpg']
Mobile,['mobile'],['mobil']
Complement,['complement'],['complement']
Journey,['journey'],['journey']
Link,['link'],['link']
IID,['iid'],['iid']
Search,['search'],['search']
Results,['results'],['result']
Manage,['manage'],['manag']
Booking,['booking'],['book']
IID,['iid'],['iid']
New,['new'],['new']
Destinationprice,['destinationprice'],['destinationpric']
Discover,['discover'],['discov']
cta,['cta'],['cta']
IID,['iid'],['iid']
Content,['content'],['content']
Strip,['strip'],['strip']
Manual,['manual'],['manual']
Fares,['fares'],['fare']
IID,['iid'],['iid']
(DefaultValue),['defaultvalue'],['defaultvalu']
(DefaultValue),['defaultvalue'],['defaultvalu']
(DefaultValue),['defaultvalue'],['defaultvalu']
(DefaultValue),['defaultvalue'],['defaultvalu']
(Default,['default'],['default']
Value),['value'],['valu']
(Default,['default'],['default']
Value),['value'],['valu']
logged,['logged'],['log']
due,['due'],['due']
inactivity,['inactivity'],['inact']
Upgrade,['upgrade'],['upgrad']
Privilege,['privilege'],['privileg']
Club,['club'],['club']
account,['account'],['account']
current,['current'],['current']
profile,['profile'],['profil']
name,['name'],['name']
match,['match'],['match']
name,['name'],['name']
passport?,['passport'],['passport']
Yes,['yes'],['ye']
Options,['options'],['option']
Yes,['yes'],['ye']
Continue,['continue'],['continu']
Title,['title'],['titl']
Gender,['gender'],['gender']
Male,['male'],['male']
Female,['female'],['femal']
First,['first'],['first']
name,['name'],['name']
First,['first'],['first']
name,['name'],['name']
input,['input'],['input']
background,['background'],['background']
Middle,['middle'],['middl']
name,['name'],['name']
Middle,['middle'],['middl']
name,['name'],['name']
input,['input'],['input']
background,['background'],['background']
Last,['last'],['last']
name,['name'],['name']
Last,['last'],['last']
name,['name'],['name']
input,['input'],['input']
background,['background'],['background']
Country/Region,['country/region'],['countryregion']
residence,['residence'],['resid']
Year,['year'],['year']
birth,['birth'],['birth']
Month,['month'],['month']
birth,['birth'],['birth']
Date,['date'],['date']
birth,['birth'],['birth']
Country,['country'],['countri']
dialing,['dialing'],['dial']
code,['code'],['code']
Mobile,['mobile'],['mobil']
number,['number'],['number']
Mobile,['mobile'],['mobil']
number,['number'],['number']
input,['input'],['input']
background,['background'],['background']
qmiles.portalprofcard.mobilenumbererror,['qmiles.portalprofcard.mobilenumbererror'],['qmilesportalprofcardmobilenumbererror']
Promo,['promo'],['promo']
Code,['code'],['code']
Optional,['optional'],['option']
Promo,['promo'],['promo']
Code,['code'],['code']
Optional,['optional'],['option']
input,['input'],['input']
background,['background'],['background']
Email,['email'],['email']
address,['address'],['address']
Email,['email'],['email']
address,['address'],['address']
input,['input'],['input']
background,['background'],['background']
agree,['agree'],['agre']
terms,['terms'],['term']
conditions,['conditions'],['condit']
