Webpage,Preprocessed_Text,Preprocessed_Document
hotels,['hotels'],['hotel']
Kuala,['kuala'],['kuala']
Lumpur,['lumpur'],['lumpur']
hotels,['hotels'],['hotel']
Amsterdam,['amsterdam'],['amsterdam']
hotels,['hotels'],['hotel']
New,['new'],['new']
Delhi,['delhi'],['delhi']
hotels,['hotels'],['hotel']
Mumbai,['mumbai'],['mumbai']
hotels,['hotels'],['hotel']
Berlin,['berlin'],['berlin']
hotels,['hotels'],['hotel']
Sydney,['sydney'],['sydney']
hotels,['hotels'],['hotel']
Perth,['perth'],['perth']
hotels,['hotels'],['hotel']
Melbourne,['melbourne'],['melbourn']
hotels,['hotels'],['hotel']
Gold,['gold'],['gold']
Coast,['coast'],['coast']
hotels,['hotels'],['hotel']
Canberra,['canberra'],['canberra']
hotels,['hotels'],['hotel']
Brisbane,['brisbane'],['brisban']
hotels,['hotels'],['hotel']
Adelaide,['adelaide'],['adelaid']
hotels,['hotels'],['hotel']
Wellington,['wellington'],['wellington']
hotels,['hotels'],['hotel']
Auckland,['auckland'],['auckland']
hotels,['hotels'],['hotel']
Killarney,['killarney'],['killarney']
hotels,['hotels'],['hotel']
Galway,['galway'],['galway']
hotels,['hotels'],['hotel']
Dublin,['dublin'],['dublin']
hotels,['hotels'],['hotel']
Cork,['cork'],['cork']
hotels,['hotels'],['hotel']
Paris,['paris'],['pari']
hotels,['hotels'],['hotel']
Hong,['hong'],['hong']
Kong,['kong'],['kong']
hotels,['hotels'],['hotel']
Doha,['doha'],['doha']
hotels,['hotels'],['hotel']
Ras,['ras'],['ra']
al,['al'],['al']
Khaimah,['khaimah'],['khaimah']
hotels,['hotels'],['hotel']
Dubai,['dubai'],['dubai']
hotels,['hotels'],['hotel']
Fujairah,['fujairah'],['fujairah']
hotels,['hotels'],['hotel']
Ajman,['ajman'],['ajman']
hotels,['hotels'],['hotel']
Abu,['abu'],['abu']
Dhabi,['dhabi'],['dhabi']
hotels,['hotels'],['hotel']
Istanbul,['istanbul'],['istanbul']
hotels,['hotels'],['hotel']
Seoul,['seoul'],['seoul']
hotels,['hotels'],['hotel']
Vancouver,['vancouver'],['vancouv']
hotels,['hotels'],['hotel']
Toronto,['toronto'],['toronto']
hotels,['hotels'],['hotel']
Ottawa,['ottawa'],['ottawa']
hotels,['hotels'],['hotel']
Niagara,['niagara'],['niagara']
Falls,['falls'],['fall']
hotels,['hotels'],['hotel']
Montreal,['montreal'],['montreal']
hotels,['hotels'],['hotel']
Kelowna,['kelowna'],['kelowna']
hotels,['hotels'],['hotel']
Jasper,['jasper'],['jasper']
hotels,['hotels'],['hotel']
Edmonton,['edmonton'],['edmonton']
hotels,['hotels'],['hotel']
Canmore,['canmore'],['canmor']
hotels,['hotels'],['hotel']
Banff,['banff'],['banff']
hotels,['hotels'],['hotel']
Barcelona,['barcelona'],['barcelona']
hotels,['hotels'],['hotel']
Tokyo,['tokyo'],['tokyo']
hotels,['hotels'],['hotel']
Singapore,['singapore'],['singapor']
hotels,['hotels'],['hotel']
Whistler,['whistler'],['whistler']
hotels,['hotels'],['hotel']
Rotorua,['rotorua'],['rotorua']
hotels,['hotels'],['hotel']
Queenstown,['queenstown'],['queenstown']
hotels,['hotels'],['hotel']
Heathrow,['heathrow'],['heathrow']
Terminal,['terminal'],['termin']
Wembley,['wembley'],['wembley']
Stadium,['stadium'],['stadium']
properties,['properties'],['properti']
Burj,['burj'],['burj']
Al,['al'],['al']
Arab,['arab'],['arab']
Tower,['tower'],['tower']
properties,['properties'],['properti']
Disneyland,['disneyland'],['disneyland']
Paris,['paris'],['pari']
properties,['properties'],['properti']
Ocean,['ocean'],['ocean']
City,['city'],['citi']
Boardwalk,['boardwalk'],['boardwalk']
properties,['properties'],['properti']
Arena,['arena'],['arena']
properties,['properties'],['properti']
Kalahari,['kalahari'],['kalahari']
Waterpark,['waterpark'],['waterpark']
properties,['properties'],['properti']
Shard,['shard'],['shard']
properties,['properties'],['properti']
Heathrow,['heathrow'],['heathrow']
Terminal,['terminal'],['termin']
properties,['properties'],['properti']
River,['river'],['river']
Walk,['walk'],['walk']
properties,['properties'],['properti']
Niagara,['niagara'],['niagara']
Falls,['falls'],['fall']
State,['state'],['state']
Park,['park'],['park']
properties,['properties'],['properti']
Disneyland,['disneyland'],['disneyland']
properties,['properties'],['properti']
Universal,['universal'],['univers']
Studios,['studios'],['studio']
Orlando,['orlando'],['orlando']
properties,['properties'],['properti']
Guadalupe,['guadalupe'],['guadalup']
